,0
140,0.7263177
141,0.7245799
142,0.71990573
143,0.71415466
144,0.71039766
145,0.715257
146,0.7262849
147,0.7355556
148,0.7395722
149,0.74364245
150,0.752839
151,0.7693639
152,0.79142773
153,0.81776834
154,0.83984315
155,0.8559617
156,0.8728776
157,0.88365424
158,0.9047735
159,0.92113614
160,0.9396017
161,0.9115613
162,0.88343287
163,0.8470005
164,0.8202453
165,0.7810965
166,0.7455487
167,0.72171104
168,0.7094262
169,0.7012313
170,0.6899725
171,0.6802047
172,0.669054
173,0.6578304
174,0.64899117
175,0.6412201
176,0.63549507
177,0.63279676
178,0.6324597
179,0.6255426
180,0.618258
181,0.6094881
182,0.6032791
183,0.6012342
184,0.6030272
185,0.60732615
186,0.6104729
187,0.6126992
188,0.61214805
189,0.615208
190,0.62528986
191,0.6390426
192,0.63373893
193,0.627519
194,0.63331556
195,0.63318634
196,0.63641185
197,0.62972784
198,0.62296444
199,0.6210349
200,0.6151744
201,0.61350435
202,0.6147134
203,0.61288506
204,0.61029404
205,0.6046415
206,0.5985889
207,0.5970254
208,0.5973517
209,0.5936993
210,0.59020495
211,0.58675355
212,0.5889659
213,0.59421587
214,0.60741115
215,0.61926913
216,0.6287134
217,0.64334154
218,0.64905417
219,0.6480334
220,0.6506894
221,0.6539403
222,0.65607554
223,0.6622756
224,0.6698228
225,0.67692745
226,0.676562
227,0.67488873
228,0.66826016
229,0.67702657
230,0.6757603
231,0.68087363
232,0.6914406
233,0.7096326
234,0.7305543
235,0.7430466
236,0.7595818
237,0.7861656
238,0.82373935
239,0.84107476
240,0.85633016
241,0.8824338
242,0.90490955
243,0.90019125
244,0.8981888
245,0.88043904
246,0.87606066
247,0.8636738
248,0.8621551
249,0.85359496
250,0.79463
251,0.7372715
252,0.6908776
253,0.6635224
254,0.63534844
255,0.60098594
256,0.5784268
257,0.5649668
258,0.5505622
259,0.53941154
260,0.5360372
261,0.5313074
262,0.51737463
263,0.5197877
264,0.5255845
265,0.5311488
266,0.5131826
267,0.51161385
268,0.52590483
269,0.5383949
270,0.5699131
271,0.6139614
272,0.6493849
273,0.687399
274,0.7349078
275,0.7939737
276,0.92408985
277,1.2368598
278,1.4671385
279,1.7625064
280,2.104207
281,2.4845974
282,2.7942643
283,3.134916
284,3.3737783
285,3.7306547
286,3.8720517
287,4.048219
288,4.2841268
289,4.3754916
290,4.423949
291,4.5153236
292,4.6511555
293,5.0054045
294,5.2315483
295,5.5833225
296,5.5488453
297,5.742013
298,6.01039
299,6.4261885
300,6.732534
301,6.9815
302,7.1732
303,7.277442
304,7.344332
305,7.3772874
306,7.3946443
307,7.4014754
308,7.3878865
309,7.387367
310,7.4169416
311,7.429437
312,7.4330964
313,7.4407015
314,7.447639
315,7.46158
316,7.461756
317,7.4672804
318,7.4613657
319,7.449928
320,7.42347
321,7.392998
322,7.3487673
323,7.325775
324,7.2776957
325,7.217357
326,7.207604
327,7.123232
328,7.0453343
329,6.985607
330,6.950302
331,6.9265413
332,6.848619
333,6.77176
334,6.6896663
335,6.554167
